,0
2010-01-01,39.96
2010-01-02,28.64
2010-01-03,21.97
2010-01-04,29.77
2010-01-05,30.13
2010-01-06,33.69
2010-01-07,37.66
2010-01-08,32.39
2010-01-09,29.91
2010-01-10,28.57
2010-01-11,30.86
2010-01-12,34.59
2010-01-13,34.82
2010-01-14,41.11
2010-01-15,48.56
2010-01-16,49.14
2010-01-17,38.54
2010-01-18,49.86
2010-01-19,44.71
2010-01-20,41.21
2010-01-21,41.44
2010-01-22,43.08
2010-01-23,39.68
2010-01-24,41.76
2010-01-25,56.27
2010-01-26,42.3
2010-01-27,38.46
2010-01-28,41.03
2010-01-29,23.33
2010-01-30,19.18
2010-01-31,29.89
2010-02-01,35.48
2010-02-02,33.06
2010-02-03,37.81
2010-02-04,36.93
2010-02-05,35.79
2010-02-06,26.2
2010-02-07,34.1
2010-02-08,36.85
2010-02-09,41.61
2010-02-10,32.13
2010-02-11,36.54
2010-02-12,37.23
2010-02-13,32.06
2010-02-14,38.35
2010-02-15,40.11
2010-02-16,32.79
2010-02-17,34.28
2010-02-18,39.98
2010-02-19,43.09
2010-02-20,44.19
2010-02-21,45.55
2010-02-22,43.63
2010-02-23,36.42
2010-02-24,40.88
2010-02-25,35.07
2010-02-26,33.07
2010-02-27,37.98
2010-02-28,39.45
2010-03-01,47.53
2010-03-02,46.22
2010-03-03,39.78
2010-03-04,46.09
2010-03-05,46.77
2010-03-06,53.36
2010-03-07,56.28
2010-03-08,59.86
2010-03-09,60.12
2010-03-10,55.54
2010-03-11,50.97
2010-03-12,43.53
2010-03-13,46.01
2010-03-14,48.83
2010-03-15,45.14
2010-03-16,61.4
2010-03-17,65.53
2010-03-18,67.78
2010-03-19,71.2
2010-03-20,72.94
2010-03-21,64.31
2010-03-22,55.2
2010-03-23,50.07
2010-03-24,60.29
2010-03-25,60.26
2010-03-26,43.72
2010-03-27,41.69
2010-03-28,46.42
2010-03-29,52.61
2010-03-30,44.15
2010-03-31,56.33
2010-04-01,69.39
2010-04-02,66.94
2010-04-03,65.55
2010-04-04,74.71
2010-04-05,74.13
2010-04-06,77.53
2010-04-07,89.99
2010-04-08,79.56
2010-04-09,56.87
2010-04-10,61.22
2010-04-11,74.12
2010-04-12,65.21
2010-04-13,54.99
2010-04-14,65.52
2010-04-15,71.31
2010-04-16,54.1
2010-04-17,52.79
2010-04-18,55.26
2010-04-19,60.65
2010-04-20,69.15
2010-04-21,67.73
2010-04-22,70.03
2010-04-23,67.11
2010-04-24,67.17
2010-04-25,49.9
2010-04-26,52.31
2010-04-27,56.98
2010-04-28,56.04
2010-04-29,69.17
2010-04-30,78.06
2010-05-01,85.61
2010-05-02,87.62
2010-05-03,80.11
2010-05-04,79.85
2010-05-05,79.28
2010-05-06,78.54
2010-05-07,71.45
2010-05-08,74.96
2010-05-09,52.61
2010-05-10,59.71
2010-05-11,55.9
2010-05-12,47.12
2010-05-13,67.07
2010-05-14,80.19
2010-05-15,72.88
2010-05-16,71.41
2010-05-17,73.81
2010-05-18,54.69
2010-05-19,63.76
2010-05-20,80.04
2010-05-21,84.56
2010-05-22,72.45
2010-05-23,71.46
2010-05-24,73.18
2010-05-25,81.29
2010-05-26,92.45
2010-05-27,72.07
2010-05-28,70.16
2010-05-29,77.21
2010-05-30,84.74
2010-05-31,84.81
2010-06-01,83.78
2010-06-02,84.26
2010-06-03,86.58
2010-06-04,86.47
2010-06-05,86.74
2010-06-06,88.63
2010-06-07,73.96
2010-06-08,71.58
2010-06-09,66.22
2010-06-10,74.08
2010-06-11,70.34
2010-06-12,80.25
2010-06-13,78.28
2010-06-14,78.28
2010-06-15,78.57
2010-06-16,73.82
2010-06-17,73.1
2010-06-18,84.15
2010-06-19,80.87
2010-06-20,88.74
2010-06-21,87.17
2010-06-22,83.21
2010-06-23,89.21
2010-06-24,91.27
2010-06-25,84.64
2010-06-26,87.94
2010-06-27,90.46
2010-06-28,91.87
2010-06-29,86.99
2010-06-30,78.48
2010-07-01,75.57
2010-07-02,79.26
2010-07-03,87.79
2010-07-04,96.03
2010-07-05,97.35
2010-07-06,100.6
2010-07-07,97.8
2010-07-08,85.26
2010-07-09,85.71
2010-07-10,79.31
2010-07-11,88.55
2010-07-12,91.15
2010-07-13,80.76
2010-07-14,76.71
2010-07-15,84.62
2010-07-16,92.23
2010-07-17,91.28
2010-07-18,91.63
2010-07-19,90.72
2010-07-20,86.2
2010-07-21,90.58
2010-07-22,87.37
2010-07-23,85.79
2010-07-24,94.92
2010-07-25,90.56
2010-07-26,85.58
2010-07-27,88.53
2010-07-28,88.23
2010-07-29,86.65
2010-07-30,81.32
2010-07-31,80.88
2010-08-01,76.47
2010-08-02,81.87
2010-08-03,83.5
2010-08-04,88.26
2010-08-05,90.75
2010-08-06,86.15
2010-08-07,83.46
2010-08-08,86.54
2010-08-09,90.82
2010-08-10,89.03
2010-08-11,89.71
2010-08-12,74.41
2010-08-13,78.38
2010-08-14,78.18
2010-08-15,75.74
2010-08-16,84.22
2010-08-17,88.5
2010-08-18,82.3
2010-08-19,87.81
2010-08-20,87.76
2010-08-21,80.45
2010-08-22,78.64
2010-08-23,69.46
2010-08-24,69.46
2010-08-25,69.61
2010-08-26,80.6
2010-08-27,77.39
2010-08-28,80.91
2010-08-29,92.07
2010-08-30,89.51
2010-08-31,93.7
2010-09-01,93.25
2010-09-02,92.06
2010-09-03,83.62
2010-09-04,77.78
2010-09-05,74.75
2010-09-06,76.58
2010-09-07,86.33
2010-09-08,88.14
2010-09-09,69.07
2010-09-10,70.01
2010-09-11,77.19
2010-09-12,64.34
2010-09-13,74.05
2010-09-14,75.06
2010-09-15,70.66
2010-09-16,70.83
2010-09-17,69.58
2010-09-18,70.18
2010-09-19,80.04
2010-09-20,71.63
2010-09-21,71.12
2010-09-22,85.72
2010-09-23,78.08
2010-09-24,83.94
2010-09-25,86.92
2010-09-26,70.62
2010-09-27,70.44
2010-09-28,73.9
2010-09-29,76.4
2010-09-30,75.45
2010-10-01,64.65
2010-10-02,65.43
2010-10-03,62.08
2010-10-04,54.14
2010-10-05,60.06
2010-10-06,62.58
2010-10-07,70.06
2010-10-08,73.32
2010-10-09,71.42
2010-10-10,69.2
2010-10-11,74.33
2010-10-12,67.64
2010-10-13,63.41
2010-10-14,61.99
2010-10-15,56.67
2010-10-16,58.74
2010-10-17,68.79
2010-10-18,59.45
2010-10-19,59.46
2010-10-20,58.95
2010-10-21,61.54
2010-10-22,52.06
2010-10-23,63.91
2010-10-24,66.69
2010-10-25,71.87
2010-10-26,70.53
2010-10-27,72.94
2010-10-28,73.92
2010-10-29,55.12
2010-10-30,56.68
2010-10-31,56.43
2010-11-01,48.2
2010-11-02,50.41
2010-11-03,52.82
2010-11-04,48.2
2010-11-05,51.58
2010-11-06,49.33
2010-11-07,50.06
2010-11-08,44.25
2010-11-09,53.66
2010-11-10,56.41
2010-11-11,55.9
2010-11-12,61.74
2010-11-13,63.53
2010-11-14,59.81
2010-11-15,56.88
2010-11-16,54.86
2010-11-17,58.9
2010-11-18,54.75
2010-11-19,47.14
2010-11-20,54.38
2010-11-21,46.71
2010-11-22,63.32
2010-11-23,60.36
2010-11-24,48.71
2010-11-25,42.11
2010-11-26,50.6
2010-11-27,41.92
2010-11-28,46.36
2010-11-29,47.47
2010-11-30,53.34
2010-12-01,59.78
2010-12-02,41.35
2010-12-03,39.63
2010-12-04,38.38
2010-12-05,34.2
2010-12-06,34.06
2010-12-07,35.83
2010-12-08,33.72
2010-12-09,30.12
2010-12-10,33.08
2010-12-11,44.6
2010-12-12,55.47
2010-12-13,42.03
2010-12-14,22.58
2010-12-15,26.79
2010-12-16,29.72
2010-12-17,35.84
2010-12-18,35.61
2010-12-19,35.59
2010-12-20,35.93
2010-12-21,37.97
2010-12-22,37.67
2010-12-23,34.71
2010-12-24,39.04
2010-12-25,31.76
2010-12-26,26.25
2010-12-27,26.86
2010-12-28,37.15
2010-12-29,37.97
2010-12-30,39.37
2010-12-31,44.24
