,0
2007-01-01,53.78
2007-01-02,46.33
2007-01-03,51.65
2007-01-04,54.96
2007-01-05,58.07
2007-01-06,70.31
2007-01-07,49.75
2007-01-08,53.92
2007-01-09,43.04
2007-01-10,34.62
2007-01-11,36.96
2007-01-12,48.29
2007-01-13,54.41
2007-01-14,44.16
2007-01-15,44.62
2007-01-16,44.18
2007-01-17,28.67
2007-01-18,35.98
2007-01-19,40.99
2007-01-20,30.86
2007-01-21,27.61
2007-01-22,32.17
2007-01-23,35.93
2007-01-24,38.41
2007-01-25,31.8
2007-01-26,21.73
2007-01-27,35.2
2007-01-28,40.91
2007-01-29,27.82
2007-01-30,34.32
2007-01-31,32.73
2007-02-01,35.04
2007-02-02,37.79
2007-02-03,27.74
2007-02-04,24.17
2007-02-05,17.66
2007-02-06,24.02
2007-02-07,24.88
2007-02-08,27.57
2007-02-09,30.43
2007-02-10,32.07
2007-02-11,32.48
2007-02-12,39.36
2007-02-13,25.48
2007-02-14,26.05
2007-02-15,22.48
2007-02-16,27.47
2007-02-17,35.34
2007-02-18,32.21
2007-02-19,26.78
2007-02-20,46.65
2007-02-21,48.66
2007-02-22,43.93
2007-02-23,34.38
2007-02-24,41.81
2007-02-25,35.6
2007-02-26,34.66
2007-02-27,41.85
2007-02-28,44.98
2007-03-01,43.7
2007-03-02,55.71
2007-03-03,56.52
2007-03-04,37.06
2007-03-05,38.97
2007-03-06,19.89
2007-03-07,21.88
2007-03-08,33.21
2007-03-09,31.88
2007-03-10,52.45
2007-03-11,48.76
2007-03-12,55.46
2007-03-13,54.61
2007-03-14,68.91
2007-03-15,63.66
2007-03-16,30.35
2007-03-17,36.74
2007-03-18,38.92
2007-03-19,40.5
2007-03-20,48.12
2007-03-21,38.24
2007-03-22,63.56
2007-03-23,57.57
2007-03-24,53.2
2007-03-25,51.19
2007-03-26,49.59
2007-03-27,75.79
2007-03-28,62.78
2007-03-29,55.02
2007-03-30,65.81
2007-03-31,54.96
2007-04-01,48.4
2007-04-02,53.79
2007-04-03,59.93
2007-04-04,41.77
2007-04-05,42.34
2007-04-06,40.28
2007-04-07,40.66
2007-04-08,39.88
2007-04-09,46.2
2007-04-10,48.57
2007-04-11,49.66
2007-04-12,42.02
2007-04-13,48.33
2007-04-14,54.5
2007-04-15,48.77
2007-04-16,43.57
2007-04-17,48.82
2007-04-18,50.11
2007-04-19,59.53
2007-04-20,68.2
2007-04-21,77.6
2007-04-22,74.83
2007-04-23,82.28
2007-04-24,73.88
2007-04-25,63.24
2007-04-26,58.44
2007-04-27,54.74
2007-04-28,68.24
2007-04-29,65.8
2007-04-30,77.83
2007-05-01,67.69
2007-05-02,67.02
2007-05-03,69.9
2007-05-04,68.8
2007-05-05,70.7
2007-05-06,59.95
2007-05-07,63.88
2007-05-08,68.43
2007-05-09,80.6
2007-05-10,76.33
2007-05-11,74.86
2007-05-12,71.85
2007-05-13,66.97
2007-05-14,67.97
2007-05-15,84.02
2007-05-16,83.58
2007-05-17,65.05
2007-05-18,54.45
2007-05-19,54.97
2007-05-20,74.34
2007-05-21,70.15
2007-05-22,71.58
2007-05-23,72.48
2007-05-24,83.59
2007-05-25,89.65
2007-05-26,83.33
2007-05-27,82.98
2007-05-28,82.61
2007-05-29,78.45
2007-05-30,81.67
2007-05-31,88.17
2007-06-01,87.77
2007-06-02,86.63
2007-06-03,77.89
2007-06-04,68.04
2007-06-05,80.65
2007-06-06,69.07
2007-06-07,73.01
2007-06-08,84.25
2007-06-09,79.58
2007-06-10,72.17
2007-06-11,82.13
2007-06-12,81.02
2007-06-13,65.47
2007-06-14,64.37
2007-06-15,71.87
2007-06-16,78.87
2007-06-17,87.23
2007-06-18,81.39
2007-06-19,80.59
2007-06-20,78.5
2007-06-21,80.77
2007-06-22,73.74
2007-06-23,74.32
2007-06-24,80.2
2007-06-25,79.67
2007-06-26,91.51
2007-06-27,90.9
2007-06-28,87.6
2007-06-29,75.96
2007-06-30,80.32
2007-07-01,72.37
2007-07-02,73.16
2007-07-03,78.44
2007-07-04,70.53
2007-07-05,78.65
2007-07-06,83.78
2007-07-07,83.91
2007-07-08,89.55
2007-07-09,92.09
2007-07-10,91.5
2007-07-11,83.89
2007-07-12,80.13
2007-07-13,81.04
2007-07-14,82.6
2007-07-15,87.62
2007-07-16,80.97
2007-07-17,85.37
2007-07-18,77.22
2007-07-19,82.61
2007-07-20,77.65
2007-07-21,81.43
2007-07-22,81.01
2007-07-23,69.46
2007-07-24,80.79
2007-07-25,81.81
2007-07-26,83.33
2007-07-27,83.29
2007-07-28,84.52
2007-07-29,79.0
2007-07-30,84.1
2007-07-31,86.3
2007-08-01,88.71
2007-08-02,92.55
2007-08-03,90.77
2007-08-04,89.15
2007-08-05,82.41
2007-08-06,82.96
2007-08-07,87.65
2007-08-08,91.8
2007-08-09,81.5
2007-08-10,68.66
2007-08-11,80.32
2007-08-12,85.33
2007-08-13,84.99
2007-08-14,80.74
2007-08-15,85.22
2007-08-16,84.7
2007-08-17,83.45
2007-08-18,73.68
2007-08-19,70.72
2007-08-20,68.11
2007-08-21,59.17
2007-08-22,65.14
2007-08-23,74.13
2007-08-24,82.55
2007-08-25,87.89
2007-08-26,80.81
2007-08-27,81.79
2007-08-28,81.19
2007-08-29,83.67
2007-08-30,84.55
2007-08-31,78.77
2007-09-01,77.15
2007-09-02,76.84
2007-09-03,82.08
2007-09-04,81.68
2007-09-05,76.64
2007-09-06,79.59
2007-09-07,84.93
2007-09-08,87.13
2007-09-09,83.58
2007-09-10,77.99
2007-09-11,73.9
2007-09-12,73.45
2007-09-13,73.78
2007-09-14,73.14
2007-09-15,67.73
2007-09-16,64.34
2007-09-17,66.83
2007-09-18,68.83
2007-09-19,73.94
2007-09-20,80.57
2007-09-21,81.72
2007-09-22,72.89
2007-09-23,78.54
2007-09-24,78.05
2007-09-25,84.78
2007-09-26,86.76
2007-09-27,80.79
2007-09-28,74.68
2007-09-29,73.94
2007-09-30,69.85
2007-10-01,67.8
2007-10-02,71.91
2007-10-03,77.41
2007-10-04,83.41
2007-10-05,80.98
2007-10-06,83.09
2007-10-07,78.98
2007-10-08,86.99
2007-10-09,74.74
2007-10-10,69.31
2007-10-11,66.07
2007-10-12,59.62
2007-10-13,60.19
2007-10-14,63.27
2007-10-15,66.59
2007-10-16,68.5
2007-10-17,72.01
2007-10-18,76.02
2007-10-19,72.3
2007-10-20,69.56
2007-10-21,74.63
2007-10-22,75.63
2007-10-23,77.08
2007-10-24,64.01
2007-10-25,56.37
2007-10-26,56.15
2007-10-27,68.35
2007-10-28,55.3
2007-10-29,52.77
2007-10-30,62.17
2007-10-31,63.83
2007-11-01,64.47
2007-11-02,54.32
2007-11-03,50.62
2007-11-04,55.16
2007-11-05,57.1
2007-11-06,51.52
2007-11-07,48.66
2007-11-08,44.77
2007-11-09,43.56
2007-11-10,44.49
2007-11-11,45.05
2007-11-12,48.25
2007-11-13,58.73
2007-11-14,56.02
2007-11-15,58.18
2007-11-16,45.15
2007-11-17,45.49
2007-11-18,42.66
2007-11-19,43.21
2007-11-20,47.0
2007-11-21,54.17
2007-11-22,64.78
2007-11-23,39.6
2007-11-24,37.9
2007-11-25,48.68
2007-11-26,49.76
2007-11-27,56.17
2007-11-28,44.38
2007-11-29,49.39
2007-11-30,41.65
2007-12-01,34.4
2007-12-02,28.48
2007-12-03,46.83
2007-12-04,33.05
2007-12-05,32.4
2007-12-06,32.91
2007-12-07,33.55
2007-12-08,43.81
2007-12-09,38.08
2007-12-10,39.54
2007-12-11,39.81
2007-12-12,51.12
2007-12-13,34.83
2007-12-14,42.01
2007-12-15,31.27
2007-12-16,35.89
2007-12-17,32.72
2007-12-18,36.97
2007-12-19,42.71
2007-12-20,43.04
2007-12-21,38.7
2007-12-22,38.63
2007-12-23,55.28
2007-12-24,44.58
2007-12-25,42.33
2007-12-26,37.3
2007-12-27,39.7
2007-12-28,47.8
2007-12-29,50.88
2007-12-30,40.74
2007-12-31,43.44
