,0
2014-01-01,32.25
2014-01-02,26.79
2014-01-03,16.68
2014-01-04,25.22
2014-01-05,33.83
2014-01-06,53.46
2014-01-07,9.61
2014-01-08,21.09
2014-01-09,31.81
2014-01-10,33.88
2014-01-11,55.6
2014-01-12,44.18
2014-01-13,49.1
2014-01-14,46.27
2014-01-15,44.62
2014-01-16,38.91
2014-01-17,43.44
2014-01-18,37.44
2014-01-19,35.08
2014-01-20,44.15
2014-01-21,24.4
2014-01-22,16.47
2014-01-23,19.94
2014-01-24,19.33
2014-01-25,26.51
2014-01-26,23.13
2014-01-27,41.77
2014-01-28,17.88
2014-01-29,22.73
2014-01-30,28.18
2014-01-31,38.47
2014-02-01,43.71
2014-02-02,52.85
2014-02-03,32.02
2014-02-04,34.16
2014-02-05,33.38
2014-02-06,28.78
2014-02-07,32.58
2014-02-08,28.7
2014-02-09,28.87
2014-02-10,28.26
2014-02-11,25.43
2014-02-12,24.04
2014-02-13,33.39
2014-02-14,39.41
2014-02-15,35.96
2014-02-16,28.64
2014-02-17,32.0
2014-02-18,38.73
2014-02-19,41.54
2014-02-20,48.66
2014-02-21,43.65
2014-02-22,53.49
2014-02-23,52.76
2014-02-24,35.95
2014-02-25,31.55
2014-02-26,29.83
2014-02-27,30.42
2014-02-28,23.48
2014-03-01,36.78
2014-03-02,39.26
2014-03-03,21.47
2014-03-04,28.34
2014-03-05,35.78
2014-03-06,29.14
2014-03-07,36.01
2014-03-08,55.18
2014-03-09,42.35
2014-03-10,50.1
2014-03-11,63.88
2014-03-12,52.5
2014-03-13,27.37
2014-03-14,44.16
2014-03-15,56.42
2014-03-16,35.83
2014-03-17,32.49
2014-03-18,41.06
2014-03-19,41.78
2014-03-20,52.39
2014-03-21,50.67
2014-03-22,62.74
2014-03-23,41.21
2014-03-24,33.76
2014-03-25,38.0
2014-03-26,34.84
2014-03-27,42.22
2014-03-28,56.02
2014-03-29,47.24
2014-03-30,45.74
2014-03-31,53.69
2014-04-01,58.62
2014-04-02,52.72
2014-04-03,63.81
2014-04-04,42.58
2014-04-05,53.29
2014-04-06,59.54
2014-04-07,50.65
2014-04-08,64.31
2014-04-09,60.13
2014-04-10,58.34
2014-04-11,73.79
2014-04-12,71.08
2014-04-13,77.39
2014-04-14,75.23
2014-04-15,61.16
2014-04-16,46.78
2014-04-17,46.27
2014-04-18,47.16
2014-04-19,65.84
2014-04-20,54.81
2014-04-21,64.98
2014-04-22,70.41
2014-04-23,58.67
2014-04-24,61.02
2014-04-25,60.25
2014-04-26,64.66
2014-04-27,56.61
2014-04-28,63.87
2014-04-29,47.58
2014-04-30,46.52
2014-05-01,76.25
2014-05-02,66.56
2014-05-03,67.94
2014-05-04,62.33
2014-05-05,67.64
2014-05-06,67.55
2014-05-07,67.78
2014-05-08,56.6
2014-05-09,60.63
2014-05-10,81.2
2014-05-11,80.25
2014-05-12,82.49
2014-05-13,67.65
2014-05-14,68.0
2014-05-15,70.14
2014-05-16,67.28
2014-05-17,68.23
2014-05-18,64.24
2014-05-19,70.06
2014-05-20,77.39
2014-05-21,73.39
2014-05-22,62.04
2014-05-23,67.11
2014-05-24,67.43
2014-05-25,79.52
2014-05-26,86.11
2014-05-27,85.63
2014-05-28,58.45
2014-05-29,63.78
2014-05-30,74.81
2014-05-31,70.16
2014-06-01,76.1
2014-06-02,80.25
2014-06-03,86.37
2014-06-04,80.95
2014-06-05,75.18
2014-06-06,74.99
2014-06-07,81.23
2014-06-08,84.59
2014-06-09,67.12
2014-06-10,75.64
2014-06-11,67.65
2014-06-12,69.57
2014-06-13,78.97
2014-06-14,73.08
2014-06-15,79.31
2014-06-16,80.25
2014-06-17,88.39
2014-06-18,87.85
2014-06-19,76.75
2014-06-20,79.29
2014-06-21,76.04
2014-06-22,77.23
2014-06-23,80.96
2014-06-24,80.44
2014-06-25,84.25
2014-06-26,84.46
2014-06-27,81.04
2014-06-28,85.35
2014-06-29,81.9
2014-06-30,83.2
2014-07-01,87.75
2014-07-02,89.7
2014-07-03,86.82
2014-07-04,72.01
2014-07-05,81.2
2014-07-06,84.53
2014-07-07,89.75
2014-07-08,91.04
2014-07-09,86.87
2014-07-10,81.88
2014-07-11,83.42
2014-07-12,84.49
2014-07-13,81.81
2014-07-14,82.73
2014-07-15,83.09
2014-07-16,80.51
2014-07-17,79.47
2014-07-18,80.55
2014-07-19,76.04
2014-07-20,76.91
2014-07-21,83.04
2014-07-22,86.17
2014-07-23,88.47
2014-07-24,79.62
2014-07-25,81.3
2014-07-26,79.23
2014-07-27,85.86
2014-07-28,81.71
2014-07-29,74.95
2014-07-30,78.67
2014-07-31,81.59
2014-08-01,82.61
2014-08-02,73.07
2014-08-03,74.92
2014-08-04,82.68
2014-08-05,87.32
2014-08-06,82.48
2014-08-07,81.48
2014-08-08,80.77
2014-08-09,83.84
2014-08-10,85.6
2014-08-11,84.71
2014-08-12,77.57
2014-08-13,81.24
2014-08-14,76.81
2014-08-15,71.18
2014-08-16,77.89
2014-08-17,80.7
2014-08-18,79.93
2014-08-19,80.09
2014-08-20,82.0
2014-08-21,78.76
2014-08-22,74.69
2014-08-23,72.83
2014-08-24,77.96
2014-08-25,85.63
2014-08-26,85.45
2014-08-27,89.17
2014-08-28,79.19
2014-08-29,77.36
2014-08-30,76.73
2014-08-31,88.45
2014-09-01,86.48
2014-09-02,90.69
2014-09-03,83.72
2014-09-04,85.87
2014-09-05,84.25
2014-09-06,89.89
2014-09-07,78.49
2014-09-08,74.33
2014-09-09,71.48
2014-09-10,75.53
2014-09-11,81.01
2014-09-12,75.52
2014-09-13,67.06
2014-09-14,69.03
2014-09-15,70.66
2014-09-16,68.22
2014-09-17,71.22
2014-09-18,74.19
2014-09-19,64.26
2014-09-20,73.19
2014-09-21,75.01
2014-09-22,68.96
2014-09-23,71.19
2014-09-24,70.06
2014-09-25,62.48
2014-09-26,76.11
2014-09-27,81.72
2014-09-28,82.74
2014-09-29,76.77
2014-09-30,68.63
2014-10-01,63.88
2014-10-02,67.11
2014-10-03,68.47
2014-10-04,67.34
2014-10-05,59.73
2014-10-06,68.98
2014-10-07,70.86
2014-10-08,71.42
2014-10-09,66.66
2014-10-10,61.73
2014-10-11,53.93
