,0
2013-01-01,39.32
2013-01-02,32.83
2013-01-03,32.93
2013-01-04,37.71
2013-01-05,42.55
2013-01-06,46.12
2013-01-07,44.78
2013-01-08,48.17
2013-01-09,46.8
2013-01-10,47.65
2013-01-11,42.56
2013-01-12,46.48
2013-01-13,47.05
2013-01-14,55.22
2013-01-15,38.4
2013-01-16,35.14
2013-01-17,42.92
2013-01-18,29.52
2013-01-19,50.2
2013-01-20,52.83
2013-01-21,30.99
2013-01-22,21.61
2013-01-23,18.88
2013-01-24,23.12
2013-01-25,23.76
2013-01-26,27.5
2013-01-27,34.1
2013-01-28,33.98
2013-01-29,49.06
2013-01-30,53.93
2013-01-31,51.34
2013-02-01,30.68
2013-02-02,28.93
2013-02-03,30.56
2013-02-04,29.85
2013-02-05,30.29
2013-02-06,38.52
2013-02-07,31.61
2013-02-08,33.87
2013-02-09,32.39
2013-02-10,35.76
2013-02-11,41.28
2013-02-12,44.01
2013-02-13,42.74
2013-02-14,45.45
2013-02-15,53.14
2013-02-16,38.13
2013-02-17,30.97
2013-02-18,34.98
2013-02-19,46.09
2013-02-20,31.47
2013-02-21,33.86
2013-02-22,37.31
2013-02-23,41.31
2013-02-24,45.88
2013-02-25,43.67
2013-02-26,42.82
2013-02-27,46.21
2013-02-28,48.41
2013-03-01,44.14
2013-03-02,39.07
2013-03-03,39.18
2013-03-04,40.17
2013-03-05,47.57
2013-03-06,41.09
2013-03-07,37.84
2013-03-08,40.25
2013-03-09,54.91
2013-03-10,47.64
2013-03-11,53.25
2013-03-12,54.02
2013-03-13,49.82
2013-03-14,40.55
2013-03-15,45.7
2013-03-16,37.25
2013-03-17,37.5
2013-03-18,34.69
2013-03-19,43.74
2013-03-20,44.25
2013-03-21,38.09
2013-03-22,40.42
2013-03-23,44.92
2013-03-24,46.22
2013-03-25,39.02
2013-03-26,50.24
2013-03-27,51.31
2013-03-28,48.49
2013-03-29,53.72
2013-03-30,57.86
2013-03-31,54.4
2013-04-01,61.18
2013-04-02,43.28
2013-04-03,45.85
2013-04-04,52.27
2013-04-05,62.22
2013-04-06,51.5
2013-04-07,55.98
2013-04-08,72.62
2013-04-09,81.57
2013-04-10,72.78
2013-04-11,60.44
2013-04-12,43.52
2013-04-13,56.75
2013-04-14,56.46
2013-04-15,56.42
2013-04-16,62.27
2013-04-17,69.3
2013-04-18,57.69
2013-04-19,71.09
2013-04-20,58.65
2013-04-21,52.95
2013-04-22,52.34
2013-04-23,51.19
2013-04-24,68.06
2013-04-25,64.47
2013-04-26,65.3
2013-04-27,68.46
2013-04-28,68.25
2013-04-29,55.4
2013-04-30,64.86
2013-05-01,65.81
2013-05-02,70.1
2013-05-03,63.07
2013-05-04,65.38
2013-05-05,60.09
2013-05-06,66.47
2013-05-07,71.81
2013-05-08,63.7
2013-05-09,66.15
2013-05-10,78.84
2013-05-11,69.61
2013-05-12,67.4
2013-05-13,54.91
2013-05-14,60.9
2013-05-15,68.02
2013-05-16,79.8
2013-05-17,72.58
2013-05-18,64.45
2013-05-19,57.65
2013-05-20,78.66
2013-05-21,86.36
2013-05-22,78.47
2013-05-23,76.21
2013-05-24,64.21
2013-05-25,53.4
2013-05-26,66.15
2013-05-27,74.05
2013-05-28,66.74
2013-05-29,83.27
2013-05-30,91.43
2013-05-31,91.31
2013-06-01,89.8
2013-06-02,86.94
2013-06-03,77.01
2013-06-04,74.81
2013-06-05,72.25
2013-06-06,69.46
2013-06-07,61.97
2013-06-08,75.4
2013-06-09,79.99
2013-06-10,68.53
2013-06-11,79.32
2013-06-12,75.77
2013-06-13,64.29
2013-06-14,72.12
2013-06-15,79.82
2013-06-16,80.94
2013-06-17,84.66
2013-06-18,81.98
2013-06-19,75.6
2013-06-20,78.29
2013-06-21,81.4
2013-06-22,82.55
2013-06-23,86.77
2013-06-24,92.36
2013-06-25,91.13
2013-06-26,85.22
2013-06-27,84.54
2013-06-28,85.5
2013-06-29,83.43
2013-06-30,82.89
2013-07-01,75.35
2013-07-02,81.79
2013-07-03,83.21
2013-07-04,88.83
2013-07-05,90.15
2013-07-06,92.44
2013-07-07,92.76
2013-07-08,88.38
2013-07-09,87.53
2013-07-10,85.91
2013-07-11,84.22
2013-07-12,76.41
2013-07-13,78.32
2013-07-14,90.22
2013-07-15,93.37
2013-07-16,92.67
2013-07-17,94.19
2013-07-18,96.56
2013-07-19,96.22
2013-07-20,92.02
2013-07-21,85.97
2013-07-22,81.42
2013-07-23,86.56
2013-07-24,80.48
2013-07-25,66.61
2013-07-26,81.24
2013-07-27,82.19
2013-07-28,77.76
2013-07-29,83.48
2013-07-30,79.33
2013-07-31,80.67
2013-08-01,74.05
2013-08-02,83.11
2013-08-03,77.43
2013-08-04,78.79
2013-08-05,77.31
2013-08-06,79.71
2013-08-07,77.52
2013-08-08,80.48
2013-08-09,84.85
2013-08-10,82.38
2013-08-11,80.08
2013-08-12,80.49
2013-08-13,76.41
2013-08-14,73.15
2013-08-15,76.27
2013-08-16,78.4
2013-08-17,80.14
2013-08-18,75.74
2013-08-19,78.05
2013-08-20,86.14
2013-08-21,87.78
2013-08-22,75.55
2013-08-23,79.75
2013-08-24,77.85
2013-08-25,81.47
2013-08-26,80.1
2013-08-27,85.19
2013-08-28,83.3
2013-08-29,78.27
2013-08-30,83.95
2013-08-31,84.63
2013-09-01,82.73
2013-09-02,79.08
2013-09-03,80.15
2013-09-04,80.44
2013-09-05,76.21
2013-09-06,69.97
2013-09-07,77.68
2013-09-08,79.5
2013-09-09,70.76
2013-09-10,84.69
2013-09-11,93.23
2013-09-12,83.82
2013-09-13,74.68
2013-09-14,65.06
2013-09-15,71.12
2013-09-16,70.26
2013-09-17,63.64
2013-09-18,70.52
2013-09-19,75.23
2013-09-20,76.97
2013-09-21,75.36
2013-09-22,66.92
2013-09-23,64.58
2013-09-24,72.02
2013-09-25,70.68
2013-09-26,67.52
2013-09-27,66.11
2013-09-28,71.58
2013-09-29,69.59
2013-09-30,71.35
2013-10-01,79.38
2013-10-02,82.21
2013-10-03,76.65
2013-10-04,83.75
2013-10-05,74.65
2013-10-06,67.1
2013-10-07,74.71
2013-10-08,66.12
2013-10-09,61.65
2013-10-10,62.22
2013-10-11,66.88
2013-10-12,71.26
2013-10-13,63.43
2013-10-14,64.75
2013-10-15,69.63
2013-10-16,65.55
2013-10-17,72.6
2013-10-18,67.21
2013-10-19,62.87
2013-10-20,62.28
2013-10-21,66.32
2013-10-22,64.55
2013-10-23,53.3
2013-10-24,53.23
2013-10-25,52.31
2013-10-26,54.75
2013-10-27,56.97
2013-10-28,60.97
2013-10-29,54.35
2013-10-30,58.2
2013-10-31,62.7
2013-11-01,68.16
2013-11-02,66.33
2013-11-03,49.28
2013-11-04,44.74
2013-11-05,53.49
2013-11-06,59.73
2013-11-07,61.91
2013-11-08,47.8
2013-11-09,49.02
2013-11-10,58.93
2013-11-11,51.78
2013-11-12,37.07
2013-11-13,38.73
2013-11-14,52.01
2013-11-15,55.96
2013-11-16,58.69
2013-11-17,58.21
2013-11-18,64.33
2013-11-19,46.54
2013-11-20,43.52
2013-11-21,49.83
2013-11-22,55.95
2013-11-23,45.39
2013-11-24,28.99
2013-11-25,35.0
2013-11-26,38.56
2013-11-27,59.41
2013-11-28,34.25
2013-11-29,37.32
2013-11-30,35.57
2013-12-01,47.88
2013-12-02,47.23
2013-12-03,52.49
2013-12-04,49.57
2013-12-05,54.69
2013-12-06,52.32
2013-12-07,39.65
2013-12-08,31.97
2013-12-09,37.59
2013-12-10,34.65
2013-12-11,32.64
2013-12-12,26.86
2013-12-13,34.55
2013-12-14,25.01
2013-12-15,37.93
2013-12-16,29.33
2013-12-17,28.83
2013-12-18,36.35
2013-12-19,43.75
2013-12-20,49.76
2013-12-21,58.61
2013-12-22,67.14
2013-12-23,57.48
2013-12-24,39.16
2013-12-25,27.3
2013-12-26,35.22
2013-12-27,39.43
2013-12-28,53.66
2013-12-29,44.03
2013-12-30,42.73
2013-12-31,30.92
