,0
2016-10-17,79.64
2016-10-18,81.54
2016-10-19,83.23
2016-10-20,69.35
2016-10-21,69.34
2016-10-22,49.66
2016-10-23,61.19
2016-10-24,60.91
2016-10-25,51.16
2016-10-26,49.61
2016-10-27,48.72
2016-10-28,47.4
2016-10-29,63.6
2016-10-30,75.03
2016-10-31,54.47
2016-11-01,58.57
2016-11-02,70.52
2016-11-03,71.81
2016-11-04,59.53
2016-11-05,61.23
2016-11-06,57.02
2016-11-07,53.88
2016-11-08,66.98
2016-11-09,54.36
2016-11-10,56.21
2016-11-11,61.18
2016-11-12,49.98
2016-11-13,61.24
2016-11-14,61.35
2016-11-15,49.48
2016-11-16,61.28
2016-11-17,61.04
2016-11-18,65.11
2016-11-19,60.76
2016-11-20,40.81
2016-11-21,39.97
2016-11-22,40.96
2016-11-23,44.66
2016-11-24,47.27
2016-11-25,52.72
2016-11-26,48.97
2016-11-27,49.23
2016-11-28,51.6
2016-11-29,58.33
2016-11-30,54.17
2016-12-01,53.33
2016-12-02,50.17
2016-12-03,46.67
2016-12-04,45.46
2016-12-05,48.09
2016-12-06,44.91
2016-12-07,44.79
2016-12-08,42.41
2016-12-09,38.45
2016-12-10,34.29
2016-12-11,33.62
2016-12-12,44.51
2016-12-13,42.43
2016-12-14,41.56
2016-12-15,26.05
2016-12-16,26.44
2016-12-17,34.89
2016-12-18,56.36
2016-12-19,28.45
2016-12-20,32.44
2016-12-21,39.58
2016-12-22,47.66
2016-12-23,46.2
2016-12-24,45.02
2016-12-25,49.35
2016-12-26,40.3
2016-12-27,59.32
2016-12-28,39.61
2016-12-29,43.36
2016-12-30,39.57
2016-12-31,42.83
