,0
2008-01-01,46.22
2008-01-02,31.58
2008-01-03,20.25
2008-01-04,34.79
2008-01-05,41.76
2008-01-06,45.03
2008-01-07,60.7
2008-01-08,62.26
2008-01-09,63.32
2008-01-10,49.77
2008-01-11,51.95
2008-01-12,46.76
2008-01-13,44.33
2008-01-14,37.8
2008-01-15,37.4
2008-01-16,38.6
2008-01-17,37.65
2008-01-18,46.58
2008-01-19,36.39
2008-01-20,24.57
2008-01-21,26.07
2008-01-22,37.77
2008-01-23,39.33
2008-01-24,32.4
2008-01-25,32.87
2008-01-26,32.25
2008-01-27,37.29
2008-01-28,41.26
2008-01-29,39.01
2008-01-30,46.45
2008-01-31,37.33
2008-02-01,40.53
2008-02-02,42.34
2008-02-03,48.88
2008-02-04,37.9
2008-02-05,49.93
2008-02-06,65.44
2008-02-07,47.6
2008-02-08,44.16
2008-02-09,41.49
2008-02-10,42.68
2008-02-11,23.28
2008-02-12,24.64
2008-02-13,45.35
2008-02-14,39.43
2008-02-15,45.96
2008-02-16,33.14
2008-02-17,41.8
2008-02-18,62.56
2008-02-19,40.04
2008-02-20,31.71
2008-02-21,32.43
2008-02-22,33.31
2008-02-23,33.87
2008-02-24,38.33
2008-02-25,47.33
2008-02-26,43.88
2008-02-27,37.18
2008-02-28,26.92
2008-02-29,30.81
2008-03-01,42.91
2008-03-02,41.97
2008-03-03,55.32
2008-03-04,60.53
2008-03-05,51.2
2008-03-06,46.82
2008-03-07,44.63
2008-03-08,57.0
2008-03-09,41.54
2008-03-10,44.82
2008-03-11,47.75
2008-03-12,46.07
2008-03-13,43.72
2008-03-14,53.84
2008-03-15,54.23
2008-03-16,46.08
2008-03-17,48.17
2008-03-18,42.87
2008-03-19,47.08
2008-03-20,46.53
2008-03-21,44.34
2008-03-22,48.76
2008-03-23,46.22
2008-03-24,46.68
2008-03-25,45.62
2008-03-26,59.89
2008-03-27,47.54
2008-03-28,46.1
2008-03-29,45.47
2008-03-30,45.81
2008-03-31,50.59
2008-04-01,64.75
2008-04-02,48.71
2008-04-03,48.66
2008-04-04,52.11
2008-04-05,57.37
2008-04-06,48.31
2008-04-07,49.35
2008-04-08,55.32
2008-04-09,54.67
2008-04-10,73.5
2008-04-11,59.0
2008-04-12,71.57
2008-04-13,53.63
2008-04-14,54.75
2008-04-15,58.89
2008-04-16,64.71
2008-04-17,71.8
2008-04-18,80.91
2008-04-19,72.18
2008-04-20,62.15
2008-04-21,63.08
2008-04-22,68.25
2008-04-23,76.18
2008-04-24,77.44
2008-04-25,69.14
2008-04-26,60.83
2008-04-27,54.2
2008-04-28,57.74
2008-04-29,56.57
2008-04-30,55.37
2008-05-01,57.35
2008-05-02,54.67
2008-05-03,56.02
2008-05-04,70.48
2008-05-05,71.02
2008-05-06,76.02
2008-05-07,72.7
2008-05-08,73.4
2008-05-09,51.7
2008-05-10,64.5
2008-05-11,60.16
2008-05-12,54.47
2008-05-13,70.33
2008-05-14,73.02
2008-05-15,72.45
2008-05-16,56.65
2008-05-17,71.41
2008-05-18,64.65
2008-05-19,58.18
2008-05-20,53.69
2008-05-21,65.78
2008-05-22,59.3
2008-05-23,67.71
2008-05-24,69.37
2008-05-25,76.19
2008-05-26,77.42
2008-05-27,81.62
2008-05-28,67.53
2008-05-29,75.84
2008-05-30,79.7
2008-05-31,75.09
2008-06-01,80.98
2008-06-02,79.44
2008-06-03,82.03
2008-06-04,69.85
2008-06-05,72.23
2008-06-06,74.22
2008-06-07,93.47
2008-06-08,92.45
2008-06-09,95.78
2008-06-10,95.7
2008-06-11,84.82
2008-06-12,83.58
2008-06-13,80.99
2008-06-14,87.72
2008-06-15,80.77
2008-06-16,77.8
2008-06-17,74.61
2008-06-18,71.79
2008-06-19,74.51
2008-06-20,77.9
2008-06-21,82.09
2008-06-22,76.15
2008-06-23,80.18
2008-06-24,77.64
2008-06-25,82.41
2008-06-26,81.21
2008-06-27,83.56
2008-06-28,87.71
2008-06-29,87.25
2008-06-30,83.0
2008-07-01,83.72
2008-07-02,84.44
2008-07-03,88.85
2008-07-04,78.24
2008-07-05,74.52
2008-07-06,77.7
2008-07-07,82.94
2008-07-08,88.66
2008-07-09,83.86
2008-07-10,84.72
2008-07-11,86.1
2008-07-12,84.33
2008-07-13,81.99
2008-07-14,80.38
2008-07-15,87.18
2008-07-16,89.14
2008-07-17,91.0
2008-07-18,93.26
2008-07-19,94.31
2008-07-20,92.4
2008-07-21,89.43
2008-07-22,83.49
2008-07-23,79.61
2008-07-24,80.94
2008-07-25,84.44
2008-07-26,85.3
2008-07-27,79.84
2008-07-28,85.37
2008-07-29,87.75
2008-07-30,85.54
2008-07-31,87.48
2008-08-01,86.62
2008-08-02,78.84
2008-08-03,81.25
2008-08-04,83.38
2008-08-05,83.85
2008-08-06,86.21
2008-08-07,83.12
2008-08-08,78.69
2008-08-09,79.45
2008-08-10,79.51
2008-08-11,70.96
2008-08-12,79.28
2008-08-13,80.39
2008-08-14,82.93
2008-08-15,78.5
2008-08-16,80.21
2008-08-17,83.07
2008-08-18,86.1
2008-08-19,81.03
2008-08-20,76.22
2008-08-21,79.74
2008-08-22,81.08
2008-08-23,78.66
2008-08-24,80.22
2008-08-25,81.7
2008-08-26,78.25
2008-08-27,76.23
2008-08-28,80.68
2008-08-29,77.99
2008-08-30,83.02
2008-08-31,83.04
2008-09-01,83.21
2008-09-02,86.5
2008-09-03,81.78
2008-09-04,89.14
2008-09-05,84.39
2008-09-06,79.81
2008-09-07,80.55
2008-09-08,80.94
2008-09-09,73.81
2008-09-10,71.22
2008-09-11,70.93
2008-09-12,69.29
2008-09-13,79.7
2008-09-14,88.17
2008-09-15,82.02
2008-09-16,69.15
2008-09-17,72.89
2008-09-18,71.96
2008-09-19,64.51
2008-09-20,68.72
2008-09-21,79.42
2008-09-22,71.84
2008-09-23,68.8
2008-09-24,68.89
2008-09-25,64.48
2008-09-26,65.68
2008-09-27,69.33
2008-09-28,72.2
2008-09-29,70.68
2008-09-30,70.77
2008-10-01,71.34
2008-10-02,61.63
2008-10-03,62.81
2008-10-04,62.25
2008-10-05,62.71
2008-10-06,62.49
2008-10-07,62.99
2008-10-08,64.84
2008-10-09,75.27
2008-10-10,72.17
2008-10-11,70.06
2008-10-12,70.34
2008-10-13,74.15
2008-10-14,68.47
2008-10-15,70.79
2008-10-16,76.12
2008-10-17,59.63
2008-10-18,55.79
2008-10-19,54.15
2008-10-20,61.57
2008-10-21,59.67
2008-10-22,50.76
2008-10-23,53.26
2008-10-24,55.59
2008-10-25,64.22
2008-10-26,62.35
2008-10-27,61.43
2008-10-28,45.96
2008-10-29,45.32
2008-10-30,47.89
2008-10-31,62.56
2008-11-01,64.92
2008-11-02,48.89
2008-11-03,55.83
2008-11-04,62.45
2008-11-05,63.7
2008-11-06,62.19
2008-11-07,63.33
2008-11-08,58.18
2008-11-09,54.99
2008-11-10,50.15
2008-11-11,49.82
2008-11-12,49.61
2008-11-13,54.96
2008-11-14,61.22
2008-11-15,66.44
2008-11-16,48.8
2008-11-17,46.21
2008-11-18,38.27
2008-11-19,35.6
2008-11-20,37.6
2008-11-21,36.8
2008-11-22,31.51
2008-11-23,36.19
2008-11-24,48.64
2008-11-25,45.1
2008-11-26,44.46
2008-11-27,42.81
2008-11-28,48.85
2008-11-29,44.19
2008-11-30,39.86
2008-12-01,52.89
2008-12-02,44.62
2008-12-03,42.49
2008-12-04,48.57
2008-12-05,37.33
2008-12-06,34.88
2008-12-07,35.27
2008-12-08,28.53
2008-12-09,50.11
2008-12-10,61.33
2008-12-11,38.83
2008-12-12,43.81
2008-12-13,31.29
2008-12-14,43.88
2008-12-15,63.73
2008-12-16,38.59
2008-12-17,40.3
2008-12-18,41.69
2008-12-19,33.0
2008-12-20,23.62
2008-12-21,35.53
2008-12-22,24.87
2008-12-23,27.91
2008-12-24,40.82
2008-12-25,43.03
2008-12-26,38.88
2008-12-27,44.11
2008-12-28,63.58
2008-12-29,45.42
2008-12-30,41.73
2008-12-31,33.35
