,0
2009-10-18,43.86
2009-10-19,56.25
2009-10-20,66.28
2009-10-21,67.73
2009-10-22,74.25
2009-10-23,56.27
2009-10-24,66.56
2009-10-25,61.96
2009-10-26,59.84
2009-10-27,55.11
2009-10-28,56.48
2009-10-29,58.45
2009-10-30,57.86
2009-10-31,70.25
2009-11-01,55.54
2009-11-02,55.1
2009-11-03,60.59
2009-11-04,50.55
2009-11-05,52.02
2009-11-06,48.24
2009-11-07,52.18
2009-11-08,68.65
2009-11-09,66.38
2009-11-10,64.71
2009-11-11,54.34
2009-11-12,50.89
2009-11-13,54.54
2009-11-14,56.48
2009-11-15,66.03
2009-11-16,58.41
2009-11-17,54.5
2009-11-18,53.17
2009-11-19,54.78
2009-11-20,57.9
2009-11-21,56.43
2009-11-22,53.99
2009-11-23,50.31
2009-11-24,57.04
2009-11-25,50.82
2009-11-26,56.06
2009-11-27,47.68
2009-11-28,50.47
2009-11-29,58.06
2009-11-30,54.08
2009-12-01,46.58
2009-12-02,52.24
2009-12-03,64.27
2009-12-04,50.84
2009-12-05,41.86
2009-12-06,38.1
2009-12-07,37.87
2009-12-08,43.12
2009-12-09,48.82
2009-12-10,39.81
2009-12-11,29.04
2009-12-12,36.7
2009-12-13,47.68
2009-12-14,45.22
2009-12-15,50.54
2009-12-16,35.82
2009-12-17,30.32
2009-12-18,30.07
2009-12-19,27.22
2009-12-20,32.65
2009-12-21,35.96
2009-12-22,35.73
2009-12-23,30.0
2009-12-24,38.56
2009-12-25,38.59
2009-12-26,45.18
2009-12-27,50.47
2009-12-28,39.1
2009-12-29,22.94
2009-12-30,31.41
2009-12-31,34.1
